concept,value,display_value,formatted_value,context_ref,unit_ref,decimals,scaling_factor,level,parent_concept,order,period_type,period_start,period_end,dimensions,sign,scale,format,is_nil,fact_id
ifrs-full_DisclosureOfJointVenturesExplanatory,Intere Prin,Intere Prin,Intere Prin,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-842
ifrs-full_DisclosureOfSignificantInvestmentsInAssociatesExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-880
ifrs-full_DisclosureOfImpairmentOfAssetsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-760
ifrs-full_DisclosureOfInvestmentsOtherThanInvestmentsAccountedForUsingEquityMethodExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-761
ifrs-full_DisclosureOfDebtSecuritiesExplanatory,Note 2,Note 2,Note 2,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-803
ifrs-full_DisclosureOfInventoriesExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-762
ifrs-full_DisclosureOfTradeAndOtherReceivablesExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-763
ifrs-full_DisclosureOfPrepaymentsAndOtherAssetsExplanatory,Note 18 T,Note 18 T,Note 18 T,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-804
ifrs-full_DisclosureOfAllowanceForCreditLossesExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-877
ifrs-full_DisclosureOfCashAndCashEquivalentsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-764
ifrs-full_DisclosureOfRestrictedCashAndCashEquivalentsExplanatory,Cas unclaimed,Cas unclaimed,Cas unclaimed,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-805
ifrs-full_DisclosureOfTradeAndOtherPayablesExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-765
ifrs-full_DisclosureOfAccruedExpensesAndOtherLiabilitiesExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-806
tescoplc_DisclosureOfCommercialIncome,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-766
ifrs-full_DisclosureOfBorrowingsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-767
ifrs-full_DisclosureOfProvisionsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-768
ifrs-full_DisclosureOfOtherProvisionsContingentLiabilitiesAndContingentAssetsExplanatory,Note 23 P,Note 23 P,Note 23 P,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-843
ifrs-full_DisclosureOfInsuranceContractsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-769
ifrs-full_DisclosureOfInsurancePremiumRevenueExplanatory,Insurance rev,Insurance rev,Insurance rev,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-807
ifrs-full_DisclosureOfClaimsAndBenefitsPaidExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-844
